year,country,city,city_avg_temp,global_avg_temp,
1900,Saudi Arabia,Mecca,25.5,8.5,
1901,Saudi Arabia,Mecca,25.79,8.54,
1902,Saudi Arabia,Mecca,25.42,8.3,
1903,Saudi Arabia,Mecca,25.03,8.22,
1904,Saudi Arabia,Mecca,25.4,8.09,
1905,Saudi Arabia,Mecca,25.12,8.23,
1906,Saudi Arabia,Mecca,25.26,8.38,
1907,Saudi Arabia,Mecca,24.98,7.95,
1908,Saudi Arabia,Mecca,25.23,8.19,
1909,Saudi Arabia,Mecca,25.95,8.18,
1910,Saudi Arabia,Mecca,25.18,8.22,
1911,Saudi Arabia,Mecca,24.85,8.18,
1912,Saudi Arabia,Mecca,25.05,8.17,
1913,Saudi Arabia,Mecca,24.75,8.3,
1914,Saudi Arabia,Mecca,25.38,8.59,
1915,Saudi Arabia,Mecca,25.88,8.59,
1916,Saudi Arabia,Mecca,25.36,8.23,
1917,Saudi Arabia,Mecca,25.27,8.02,
1918,Saudi Arabia,Mecca,25.25,8.13,
1919,Saudi Arabia,Mecca,26.01,8.38,
1920,Saudi Arabia,Mecca,25.17,8.36,
1921,Saudi Arabia,Mecca,25.17,8.57,
1922,Saudi Arabia,Mecca,25.66,8.41,
1923,Saudi Arabia,Mecca,25.51,8.42,
1924,Saudi Arabia,Mecca,25.96,8.51,
1925,Saudi Arabia,Mecca,25.51,8.53,
1926,Saudi Arabia,Mecca,25.53,8.73,
1927,Saudi Arabia,Mecca,25.82,8.52,
1928,Saudi Arabia,Mecca,26.05,8.63,
1929,Saudi Arabia,Mecca,25.92,8.24,
1930,Saudi Arabia,Mecca,25.76,8.63,
1931,Saudi Arabia,Mecca,25.9,8.72,
1932,Saudi Arabia,Mecca,25.45,8.71,
1933,Saudi Arabia,Mecca,25.21,8.34,
1934,Saudi Arabia,Mecca,25.53,8.63,
1935,Saudi Arabia,Mecca,25.9,8.52,
1936,Saudi Arabia,Mecca,25.75,8.55,
1937,Saudi Arabia,Mecca,25.61,8.7,
1938,Saudi Arabia,Mecca,25.31,8.86,
1939,Saudi Arabia,Mecca,25.72,8.76,
1940,Saudi Arabia,Mecca,25.92,8.76,
1941,Saudi Arabia,Mecca,26,8.77,
1942,Saudi Arabia,Mecca,26.07,8.73,
1943,Saudi Arabia,Mecca,25.21,8.76,
1944,Saudi Arabia,Mecca,25.85,8.85,
1945,Saudi Arabia,Mecca,25.69,8.58,
1946,Saudi Arabia,Mecca,25.65,8.68,
1947,Saudi Arabia,Mecca,26.13,8.8,
1948,Saudi Arabia,Mecca,25.11,8.75,
1949,Saudi Arabia,Mecca,25.11,8.59,
1950,Saudi Arabia,Mecca,25.89,8.37,
1951,Saudi Arabia,Mecca,25.96,8.63,
1952,Saudi Arabia,Mecca,26.31,8.64,
1953,Saudi Arabia,Mecca,26.15,8.87,
1954,Saudi Arabia,Mecca,26.16,8.56,
1955,Saudi Arabia,Mecca,25.65,8.63,
1956,Saudi Arabia,Mecca,25.66,8.28,
1957,Saudi Arabia,Mecca,25.51,8.73,
1958,Saudi Arabia,Mecca,26.29,8.77,
1959,Saudi Arabia,Mecca,25.26,8.73,
1960,Saudi Arabia,Mecca,26.33,8.58,
1961,Saudi Arabia,Mecca,25.87,8.8,
1962,Saudi Arabia,Mecca,26.11,8.75,
1963,Saudi Arabia,Mecca,26.1,8.86,
1964,Saudi Arabia,Mecca,25.44,8.41,
1965,Saudi Arabia,Mecca,25.76,8.53,
1966,Saudi Arabia,Mecca,26.19,8.6,
1967,Saudi Arabia,Mecca,25.33,8.7,
1968,Saudi Arabia,Mecca,25.26,8.52,
1969,Saudi Arabia,Mecca,26.09,8.6,
1970,Saudi Arabia,Mecca,25.92,8.7,
1971,Saudi Arabia,Mecca,24.96,8.6,
1972,Saudi Arabia,Mecca,25.53,8.5,
1973,Saudi Arabia,Mecca,25.98,8.95,
1974,Saudi Arabia,Mecca,25.47,8.47,
1975,Saudi Arabia,Mecca,25.34,8.74,
1976,Saudi Arabia,Mecca,25.56,8.35,
1977,Saudi Arabia,Mecca,26.11,8.85,
1978,Saudi Arabia,Mecca,26.12,8.69,
1979,Saudi Arabia,Mecca,26.55,8.73,
1980,Saudi Arabia,Mecca,26.32,8.98,
1981,Saudi Arabia,Mecca,26.19,9.17,
1982,Saudi Arabia,Mecca,25.04,8.64,
1983,Saudi Arabia,Mecca,25.4,9.03,
1984,Saudi Arabia,Mecca,25.19,8.69,
1985,Saudi Arabia,Mecca,25.36,8.66,
1986,Saudi Arabia,Mecca,25.64,8.83,
1987,Saudi Arabia,Mecca,26.35,8.99,
1988,Saudi Arabia,Mecca,26.34,9.2,
1989,Saudi Arabia,Mecca,25.47,8.92,
1990,Saudi Arabia,Mecca,25.86,9.23,
1991,Saudi Arabia,Mecca,25.94,9.18,
1992,Saudi Arabia,Mecca,24.74,8.84,
1993,Saudi Arabia,Mecca,25.9,8.87,
1994,Saudi Arabia,Mecca,26.26,9.04,
1995,Saudi Arabia,Mecca,26.33,9.35,
1996,Saudi Arabia,Mecca,26.37,9.04,
1997,Saudi Arabia,Mecca,25.88,9.2,
1998,Saudi Arabia,Mecca,26.48,9.52,
1999,Saudi Arabia,Mecca,26.75,9.29,
2000,Saudi Arabia,Mecca,26.62,9.2,
2001,Saudi Arabia,Mecca,26.6,9.41,
2002,Saudi Arabia,Mecca,26.63,9.57,
2003,Saudi Arabia,Mecca,26.87,9.53,
2004,Saudi Arabia,Mecca,26.53,9.32,
2005,Saudi Arabia,Mecca,26.47,9.7,
2006,Saudi Arabia,Mecca,26.42,9.53,
2007,Saudi Arabia,Mecca,26.58,9.73,
2008,Saudi Arabia,Mecca,26.64,9.43,
2009,Saudi Arabia,Mecca,26.9,9.51,
2010,Saudi Arabia,Mecca,27.3,9.7,
2011,Saudi Arabia,Mecca,26.57,9.52,
2012,Saudi Arabia,Mecca,27.02,9.51,
2013,Saudi Arabia,Mecca,27.57,9.61,
